epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,219.067,1.01694,0.92494,1.20148,0.65879,0.60168,0.61998,0.41936,1.00301,0.86256,1.21469,0.00406,0.00406,0.00406
32,444.861,1.01373,0.90668,1.20215,0.66215,0.61308,0.62691,0.42552,0.98798,0.84604,1.20698,0.003862,0.003862,0.003862
33,670.957,0.99804,0.8768,1.18936,0.68611,0.60315,0.62987,0.43108,0.9818,0.83037,1.20539,0.003664,0.003664,0.003664
34,897.137,0.98386,0.86315,1.18044,0.66587,0.60702,0.62039,0.42272,0.97253,0.82949,1.19031,0.003466,0.003466,0.003466
35,1120.06,0.97911,0.84671,1.17181,0.67184,0.64745,0.64425,0.44471,0.9597,0.81174,1.18367,0.003268,0.003268,0.003268
36,1345.63,0.96078,0.8445,1.16662,0.70698,0.62148,0.64637,0.43862,0.96593,0.8067,1.18682,0.00307,0.00307,0.00307
37,1568.86,0.97056,0.83794,1.1728,0.68785,0.63802,0.64372,0.45052,0.94422,0.79329,1.17145,0.002872,0.002872,0.002872
38,1793.05,0.93807,0.80489,1.1511,0.71578,0.62578,0.66108,0.45852,0.92554,0.77811,1.16421,0.002674,0.002674,0.002674
39,2018.02,0.94049,0.80093,1.15182,0.68942,0.63284,0.64073,0.44558,0.93475,0.77785,1.16502,0.002476,0.002476,0.002476
40,2241.51,0.91561,0.78113,1.13583,0.7057,0.6473,0.67294,0.46984,0.92227,0.76044,1.15584,0.002278,0.002278,0.002278
41,2472.02,0.87444,0.69802,1.10116,0.72622,0.64401,0.67586,0.47262,0.91054,0.75132,1.1524,0.00208,0.00208,0.00208
42,2700.82,0.85358,0.67657,1.08972,0.72819,0.65427,0.67673,0.4695,0.91473,0.73962,1.148,0.001882,0.001882,0.001882
43,2921.52,0.84273,0.65952,1.08114,0.73994,0.65414,0.68567,0.47759,0.90548,0.74629,1.1435,0.001684,0.001684,0.001684
44,3143.02,0.83084,0.64282,1.07303,0.75159,0.64432,0.69612,0.48441,0.89101,0.73381,1.14228,0.001486,0.001486,0.001486
45,3385.84,0.81572,0.63,1.06395,0.70406,0.66673,0.68173,0.47478,0.89682,0.71745,1.14429,0.001288,0.001288,0.001288
46,3606.45,0.80391,0.62006,1.0529,0.73317,0.68527,0.6937,0.48554,0.89283,0.71552,1.1374,0.00109,0.00109,0.00109
47,3828.87,0.79398,0.60835,1.05294,0.74482,0.66035,0.69629,0.48681,0.88066,0.71602,1.1266,0.000892,0.000892,0.000892
48,4055.77,0.77867,0.59167,1.04221,0.7301,0.69239,0.70494,0.49424,0.8751,0.7018,1.12727,0.000694,0.000694,0.000694
49,4282.1,0.76491,0.57755,1.03314,0.76529,0.66391,0.70509,0.49584,0.87491,0.69878,1.12792,0.000496,0.000496,0.000496
50,4502.49,0.754,0.56553,1.02793,0.72458,0.7043,0.71245,0.50577,0.86768,0.69449,1.12407,0.000298,0.000298,0.000298
